"","beta","gamma2","sigma2","icc","c1","c1_c2_ratio","n_clusters","n_obs_per_cluster","avg_beta_est","avg_beta_bias","avg_mse","avg_ci_coverage","beta_est_var","power","type_I_error"
"beta_est...100",0.05,1,3.4,0.227272727272727,20,20,50,21,0.0530700102120652,0.00307001021206517,3.25757939215499,0.95,0.0966036134063563,0.04,0
"beta_est...101",0.5,1,3.4,0.227272727272727,20,20,50,21,0.531809195871843,0.0318091958718431,3.24864531932774,0.94,0.0845221848612201,0.35,0
"beta_est...102",1.5,1,3.4,0.227272727272727,20,20,50,21,1.48987098059587,-0.0101290194041348,3.26907011891446,0.92,0.107443197759997,0.98,0
"beta_est...103",0.05,1,4.5,0.181818181818182,20,20,50,21,0.0482709312426827,-0.00172906875731731,4.33755291560864,0.97,0.0950484052927536,0.06,0
"beta_est...104",0.5,1,4.5,0.181818181818182,20,20,50,21,0.420408139962932,-0.0795918600370676,4.28732626466761,0.9,0.104820073011437,0.22,0
"beta_est...105",1.5,1,4.5,0.181818181818182,20,20,50,21,1.49207481154453,-0.00792518845546845,4.33624363717444,0.91,0.12087107527256,1,0
"beta_est...106",0.05,1,5.6,0.151515151515152,20,20,50,21,0.089584556008414,0.039584556008414,5.35456556939032,0.94,0.106646540660586,0.07,0
"beta_est...107",0.5,1,5.6,0.151515151515152,20,20,50,21,0.497809340104218,-0.00219065989578174,5.35208966168096,0.94,0.120760928669537,0.39,0
"beta_est...108",1.5,1,5.6,0.151515151515152,20,20,50,21,1.54262579692191,0.0426257969219074,5.38352885324971,0.96,0.0982855904090199,1,0
"beta_est...109",0.05,1,6.7,0.12987012987013,20,20,50,21,0.0517773809847851,0.00177738098478509,6.44281529374384,0.94,0.106651206834496,0.08,0
"beta_est...110",0.5,1,6.7,0.12987012987013,20,20,50,21,0.527090241370307,0.0270902413703074,6.44132793899952,0.95,0.11095925548166,0.37,0
"beta_est...111",1.5,1,6.7,0.12987012987013,20,20,50,21,1.4763658520239,-0.023634147976101,6.49231565265957,0.93,0.118622794184697,0.99,0
"beta_est...112",0.05,1,7.8,0.113636363636364,20,20,50,21,0.0167011942600858,-0.0332988057399142,7.548833304902,0.97,0.099867985498939,0.05,0
"beta_est...113",0.5,1,7.8,0.113636363636364,20,20,50,21,0.524787121013462,0.0247871210134616,7.54813722514641,0.97,0.0813717233881149,0.31,0
"beta_est...114",1.5,1,7.8,0.113636363636364,20,20,50,21,1.44331938317645,-0.0566806168235468,7.49765182683832,0.92,0.116643987227042,0.99,0
"beta_est...115",0.05,1,8.9,0.101010101010101,20,20,50,21,0.0355564467173507,-0.0144435532826493,8.59468201958493,0.97,0.10470478248013,0.04,0
"beta_est...116",0.5,1,8.9,0.101010101010101,20,20,50,21,0.532314676442703,0.0323146764427035,8.63678875749364,0.97,0.124018393957175,0.33,0
"beta_est...117",1.5,1,8.9,0.101010101010101,20,20,50,21,1.52540252931331,0.0254025293133054,8.612758716899,0.96,0.103188250695933,0.99,0
"beta_est...118",0.05,1,10,0.0909090909090909,20,20,50,21,0.101553913707435,0.0515539137074353,9.68874141798344,0.95,0.112870474497546,0.07,0
"beta_est...119",0.5,1,10,0.0909090909090909,20,20,50,21,0.571438854744313,0.0714388547443125,9.66518710339438,0.95,0.118293732114963,0.4,0
"beta_est...120",1.5,1,10,0.0909090909090909,20,20,50,21,1.49495366253032,-0.00504633746968169,9.69788088959464,0.9,0.152260303188075,0.97,0
