"","n_clusters","n_obs_per_cluster","true_beta","beta_est_mean","min_beta_est","max_beta_est","beta_bias_mean","beta_est_var","power","ci_coverage","sigma2","beta","c1_c2_ratio"
"beta_est...109",40,31,0.05,0.0489934189979403,-0.987418405256817,1.07957323298076,-0.00100658100205968,0.1348725379349,0.06,0.92,6.7,0.05,20
"beta_est...110",40,31,0.5,0.514151465690836,-0.20097544333103,1.40206749577544,0.0141514656908361,0.105442258710903,0.29,0.94,6.7,0.5,20
"beta_est...111",40,31,1.5,1.45708596921266,0.434608398758696,2.28601135759187,-0.0429140307873438,0.126301744512218,0.97,0.92,6.7,1.5,20
"beta_est...112",40,31,0.05,0.0694412366888969,-0.782760400540203,1.09899367200781,0.0194412366888969,0.103910732597786,0.02,0.98,7.8,0.05,20
"beta_est...113",40,31,0.5,0.507335705128374,-0.641731887100528,1.6785596761131,0.00733570512837398,0.1633242061204,0.27,0.92,7.8,0.5,20
"beta_est...114",40,31,1.5,1.54634022214961,0.753591719443232,2.4844055674243,0.0463402221496154,0.128258136509024,1,0.9,7.8,1.5,20
"beta_est...115",40,31,0.05,0.0606653990333896,-0.735393209870392,1.29581602137141,0.0106653990333896,0.12333860472603,0.05,0.96,8.9,0.05,20
"beta_est...116",40,31,0.5,0.515537208892059,-0.367426665425766,1.52832559800824,0.0155372088920595,0.139077587740537,0.26,0.93,8.9,0.5,20
"beta_est...117",40,31,1.5,1.55820863910681,0.632363304020155,2.8242106613097,0.0582086391068132,0.137241905237891,0.98,0.93,8.9,1.5,20
"beta_est...118",40,31,0.05,0.0103987550382147,-0.80754142888387,0.659015364159514,-0.0396012449617853,0.100675786634649,0.01,0.97,10,0.05,20
"beta_est...119",40,31,0.5,0.547496267773035,-0.201213622555256,1.23408802597742,0.0474962677730351,0.100542892632697,0.28,0.99,10,0.5,20
"beta_est...120",40,31,1.5,1.49099460573571,0.43392896862516,2.4443265295067,-0.0090053942642915,0.133638900295992,0.98,0.94,10,1.5,20
